,time,VNINDEX,MA50,z_score,sign,cross,asset_allocation,return,return_shifted
238,2023-06-16,1115.22,1070.6644000000001,0.50138980093889,1,False,39108350363.53952,0.015428106043866352,0.0630317701933596
239,2023-06-19,1105.4,1071.1552000000001,0.3385151404140336,1,False,41573418916.29553,0.0630317701933596,-0.03165071613497694
240,2023-06-20,1111.72,1071.9714,0.4254559749367415,1,False,40257590435.41538,-0.03165071613497694,-0.034236406394754226
241,2023-06-21,1118.46,1072.9464,0.5165228580036013,1,False,38879315208.79493,-0.034236406394754226,-0.03468759031625335
242,2023-06-22,1125.3,1074.1453999999999,0.6056309737677253,1,False,37530685451.05577,-0.03468759031625335,-0.01835624466499297
243,2023-06-23,1129.38,1075.3438,0.6511501984416999,1,False,36841763006.4713,-0.01835624466499297,-0.009074603310569418
244,2023-06-26,1132.03,1076.5954,0.6732400387332356,1,False,36507438621.92556,-0.009074603310569418,-0.005889903210172576
245,2023-06-27,1134.33,1077.996,0.687447420282293,1,False,36292413341.991104,-0.005889903210172576,-0.015222400670344083
246,2023-06-28,1138.35,1079.7052,0.7239499967594659,1,False,35739955684.80557,-0.015222400670344083,0.09627016331330362
247,2023-06-29,1125.39,1081.1368,0.49661293616189056,1,False,39180647055.39204,0.09627016331330362,0.039742890372057804
248,2023-06-30,1120.18,1082.44,0.3937271039344675,1,False,40737799216.020775,0.039742890372057804,-0.02223988037320035
249,2023-07-03,1125.5,1083.9704,0.45358956014785623,1,False,39831795434.78902,-0.02223988037320035,-0.02908041078706236
250,2023-07-04,1132.0,1085.6254,0.530123653549235,1,False,38673470461.15912,-0.02908041078706236,-0.004857753984246149
251,2023-07-05,1134.62,1087.4596000000001,0.5425365515048132,1,False,38485604255.941795,-0.004857753984246149,0.06272480031209415
252,2023-07-06,1126.22,1089.1568,0.3830360256240342,1,False,40899606097.786026,0.06272480031209415,-0.057201177973898565
253,2023-07-07,1138.07,1091.2212,0.5376143588311595,1,False,38560100450.32422,-0.057201177973898565,-0.054471571935384655
254,2023-07-10,1149.02,1093.3856,0.6763961815323244,1,False,36459671164.80872,-0.054471571935384655,-0.0033258536598159694
255,2023-07-11,1151.77,1095.6284,0.6844081716609477,1,False,36338411634.02956,-0.0033258536598159694,-0.002160597388072838
256,2023-07-12,1154.2,1097.73,0.6895957457111067,1,False,36259898956.76636,-0.002160597388072838,-0.05751958572289495
257,2023-07-13,1165.42,1100.2262,0.827401344063004,1,False,34174244590.419125,-0.05751958572289495,-0.002925645782788977
258,2023-07-14,1168.4,1102.788,0.8340074447565978,1,False,34074262855.853165,-0.002925645782788977,-0.016391556264674145
259,2023-07-17,1173.13,1105.1817999999998,0.8709112526006255,1,False,33515732659.07415,-0.016391556264674145,0.010317544104936571
260,2023-07-18,1174.09,1107.5882000000001,0.8480631798047966,1,False,33861532708.993412,0.010317544104936571,0.02403646561438033
261,2023-07-19,1172.98,1109.8826,0.7942855394383102,1,False,34675444275.60335,0.02403646561438033,0.01712502551034656
262,2023-07-20,1172.81,1112.1964,0.7550501666436025,1,False,35269262143.405655,0.01712502551034656,-0.07259884899304025
263,2023-07-21,1185.9,1114.5764,0.9242307941624428,1,False,32708754306.960598,-0.07259884899304025,-0.01695599102424339
264,2023-07-24,1190.72,1117.0766,0.960875539234166,1,False,32154144962.517593,-0.01695599102424339,-0.019184613051069555
265,2023-07-25,1195.9,1119.6764,1.0016336956416467,1,False,31537280133.423695,-0.019184613051069555,-0.01616216748917687
266,2023-07-26,1200.84,1122.4844,1.0353118560403516,1,False,31027569329.75421,-0.01616216748917687,0.04692828688328632
267,2023-07-27,1197.33,1125.0647999999999,0.9391047884548532,1,False,32483640004.55197,0.04692828688328632,-0.055405331806399394
268,2023-07-28,1207.67,1127.8768,1.0580209195437236,1,False,30683873151.82014,-0.055405331806399394,-0.09493904633974204
269,2023-07-31,1222.9,1130.922,1.2504982407567502,1,False,27770775496.776722,-0.09493904633974204,0.07209281103594756
270,2023-08-01,1217.56,1133.9562,1.1182151024777331,1,False,29772848766.987568,0.07209281103594756,0.0024314879292841596
271,2023-08-02,1220.43,1137.1290000000001,1.1134319190965294,1,False,29845241089.3849,0.0024314879292841596,0.09938190708419814
272,2023-08-03,1210.95,1140.0554000000002,0.9174540911553808,1,False,32811318066.23564,0.09938190708419814,-0.0858745864968462
273,2023-08-04,1225.98,1143.2998,1.1036254453744305,1,False,29993659694.881157,-0.0858745864968462,-0.0965371236541146
274,2023-08-07,1241.42,1146.6286,1.2949401434142194,1,False,27098158060.07698,-0.0965371236541146,0.021823597293930685
275,2023-08-08,1242.23,1149.9122,1.255865895026675,1,False,27689537348.98738,0.021823597293930685,0.09857121641736999
276,2023-08-09,1233.99,1153.0886,1.0755266124864273,1,False,30418928727.511265,0.09857121641736999,0.12751502728804676
277,2023-08-10,1220.61,1155.933,0.8192377074335221,1,False,34297799254.27301,0.12751502728804676,-0.06115031688363859
278,2023-08-11,1232.21,1158.7604000000001,0.9578141754981108,1,False,32200477961.46279,-0.06115031688363859,-0.013732579981735382
279,2023-08-14,1236.84,1161.5408,0.9870314013299353,1,False,31758282322.406895,-0.013732579981735382,0.03993453650854284
280,2023-08-15,1234.05,1164.0556,0.9032340723979182,1,False,33026534607.259663,0.03993453650854284,-0.04731066973017628
281,2023-08-16,1243.26,1166.73,1.0064737464606721,1,False,31464027136.123363,-0.04731066973017628,0.09439648163541925
282,2023-08-17,1233.48,1169.3732,0.8102305371430252,1,False,34434120595.85477,0.09439648163541925,0.3950515796036649
283,2023-08-18,1177.99,1170.7823999999998,-0.08857827343771597,1,False,48037374329.510284,0.3950515796036649,-0.002464552155238331
284,2023-08-21,1179.76,1172.0572,-0.08075584143516688,1,False,47918983715.0745,-0.002464552155238331,0.002148340249997327
285,2023-08-22,1180.49,1173.2178,-0.08755781885903206,1,False,48021929996.528564,0.002148340249997327,0.04496964121068858
286,2023-08-23,1172.56,1174.3206,-0.2302445389572743,-1,True,50181458958.717255,0.04496964121068858,-0.07328158736753121
287,2023-08-24,1189.39,1175.769,0.012731067041209243,1,True,46504081989.80383,-0.07328158736753121,0.037955824622808
288,2023-08-25,1183.37,1177.132,-0.10389457002430082,1,False,48269182770.05351,0.037955824622808,-0.08134578446804652
289,2023-08-28,1201.72,1179.0584,0.15554099992139575,1,False,44342688231.992,-0.08134578446804652,-0.004614098935166622
290,2023-08-29,1204.43,1180.9125999999999,0.1690596536123974,1,False,44138086681.43834,-0.004614098935166622,-0.03702756809692487
291,2023-08-30,1213.16,1182.8066000000001,0.2770445994311395,1,False,42503760671.17341,-0.03702756809692487,-0.05014534556696004
292,2023-08-31,1224.05,1184.7816,0.4178704905917762,1,False,40372394904.42205,-0.05014534556696004,-0.052218238839521036
293,2023-09-05,1234.98,1186.8936,0.5571641202333351,1,False,38264219544.77948,-0.052218238839521036,-0.051550076163604186
294,2023-09-06,1245.5,1189.163,0.6874948098138134,1,False,36291696112.90523,-0.051550076163604186,0.029882819190562904
295,2023-09-07,1243.14,1191.3392,0.6158386788566791,1,False,37376194305.96603,0.029882819190562904,0.023811564593650747
296,2023-09-08,1241.48,1193.4017999999999,0.5570345888471899,1,False,38266179970.94738,0.023811564593650747,0.12379731398039806
297,2023-09-11,1223.63,1195.3666,0.2440298924736835,1,False,43003430267.641174,0.12379731398039806,-0.1073244930317574
298,2023-09-12,1245.44,1197.8718000000001,0.5489783684891466,1,False,38388108915.540054,-0.1073244930317574,0.057967819321858016
299,2023-09-13,1238.39,1200.1296,0.4019476080017711,1,False,40613383877.263885,0.057967819321858016,0.09663625628546058
300,2023-09-14,1223.81,1201.9658,0.1426289322338216,1,False,44538109250.24695,0.09663625628546058,-0.009099673416628318
301,2023-09-15,1227.36,1203.8206,0.1694071768435239,1,False,44132827001.475586,-0.009099673416628318,0.09351062746347183
302,2023-09-18,1211.81,1205.5324,-0.10326902820826377,1,False,48259715346.12042,0.09351062746347183,0.008811100817896822
303,2023-09-19,1211.5,1207.001,-0.13136470179416293,1,False,48684936563.478096,0.008811100817896822,-0.06417380680188711
304,2023-09-20,1226.11,1208.5428,0.07506725679982812,1,False,45560638850.29132,-0.06417380680188711,0.07655688688740248
305,2023-09-21,1212.74,1209.7622000000001,-0.15539435357583206,1,False,49048619525.27087,0.07655688688740248,0.09976174553565276
306,2023-09-22,1193.05,1210.5392,-0.47870153410132216,-1,True,53941795425.22599,0.09976174553565276,0.1755366629170949
307,2023-09-25,1153.2,1210.2948,-1.1043318105961866,-1,False,63410558185.92678,0.1755366629170949,0.05516390593270737
308,2023-09-26,1137.96,1209.6860000000001,-1.335453715110999,-1,False,66908532252.83571,0.05516390593270737,-0.05815568068044785
309,2023-09-27,1153.85,1209.3004,-1.0783560287201903,-1,False,63017421016.34235,-0.05815568068044785,0.003743735464949438
310,2023-09-28,1152.43,1208.8672,-1.093944025287467,-1,False,63253341570.31088,0.003743735464949438,-0.00792444300985129
311,2023-09-29,1154.15,1208.4906,-1.0608250613606727,-1,False,62752094069.854294,-0.00792444300985129,-0.005528861173466737
312,2023-10-02,1155.25,1208.1393999999998,-1.0379011653144197,-1,False,62405146453.39774,-0.005528861173466737,0.13712810218139349
313,2023-10-03,1118.1,1206.7834,-1.6033214623647725,-1,False,70962645752.9041,0.13712810218139349,-0.03979179300586266
314,2023-10-04,1128.67,1205.5424,-1.4167488767788714,-1,False,68138914841.95618,-0.03979179300586266,0.04610310551596597
315,2023-10-05,1113.89,1203.9022,-1.6243118655250892,-1,False,71280330422.6583,0.04610310551596597,-0.05398646581840938
316,2023-10-06,1128.54,1202.4562,-1.3700512324211536,-1,False,67432157300.77052,-0.05398646581840938,-0.03552313609366731
317,2023-10-09,1137.36,1201.2568,-1.2117796750577352,-1,False,65036755599.88567,-0.03552313609366731,-0.027973035664004886
318,2023-10-10,1143.69,1199.9771999999998,-1.0915745487115716,-1,False,63217480116.018906,-0.027973035664004886,-0.03237908236701725
319,2023-10-11,1150.81,1198.5354,-0.9563279850616437,-1,False,61170556120.30705,-0.03237908236701725,-0.008281808162212023
320,2023-10-12,1151.61,1197.2164,-0.922855179299515,-1,False,60663953309.34284,-0.008281808162212023,-0.017474373677304422
321,2023-10-13,1154.73,1195.9024,-0.8528134517160832,-1,False,59603888720.47284,-0.017474373677304422,0.04780974613832645
322,2023-10-16,1141.42,1194.5118,-1.0410983790408281,-1,False,62453535509.05571,0.04780974613832645,0.0676932523416287
323,2023-10-17,1121.65,1192.4252,-1.320434392921927,-1,False,66681218447.89709,0.0676932523416287,0.05553583606000223
324,2023-10-18,1103.4,1189.6648,-1.5651160220550535,-1,False,70384415663.9007,0.05553583606000223,0.042331320435297304
325,2023-10-19,1087.85,1186.5772,-1.7619784545845365,-1,False,73363880917.02043,0.042331320435297304,-0.07397157957373945
326,2023-10-20,1108.03,1184.058,-1.4034103033076393,-1,False,67937038761.92871,-0.07397157957373945,0.04208265209670725
327,2023-10-23,1093.53,1181.5164,-1.5923112945421163,-1,False,70796009528.62747,0.04208265209670725,-0.05030409660850421
328,2023-10-24,1105.9,1178.9902,-1.3570033147432263,-1,False,67234680225.80281,-0.05030409660850421,0.005463206209366467
329,2023-10-25,1101.66,1176.2866000000001,-1.3812730734845868,-1,False,67601997148.29718,0.005463206209366467,0.15079048475897827
330,2023-10-26,1055.45,1172.7146,-2.0548046884377262,-1,False,77795735068.96397,0.15079048475897827,-0.027113606219029585
331,2023-10-27,1060.62,1169.0618000000002,-1.9154352355457438,-1,False,75686412142.78413,-0.027113606219029585,0.04548130889536228
332,2023-10-30,1042.4,1165.2402,-2.1428797124147576,-1,False,79128729232.63179,0.04548130889536228,0.03388152885640383
333,2023-10-31,1028.19,1162.2442,-2.3200217812286006,-1,False,81809731555.49777,0.03388152885640383,-0.04170772563143188
334,2023-11-01,1039.66,1159.4422,-2.0945739832875305,-1,False,78397633717.79997,-0.04170772563143188,-0.11560910810847014
335,2023-11-02,1075.47,1157.3418000000001,-1.4957219514023725,-1,False,69334153205.87059,-0.11560910810847014,-0.011122436453565254
336,2023-11-03,1076.78,1155.4261999999999,-1.4447687271143432,-1,False,68562988492.776535,-0.011122436453565254,-0.05186712731725862
337,2023-11-06,1089.66,1153.4316000000001,-1.2098019519423862,-1,False,65006823239.36996,-0.05186712731725862,0.026878189035858036
338,2023-11-07,1080.29,1151.37,-1.3252491693241457,-1,False,66754088923.01835,0.026878189035858036,-0.12501334089735372
339,2023-11-08,1113.43,1149.6042,-0.7738593329051919,-1,False,58408937248.192795,-0.12501334089735372,-0.009294718039480787
340,2023-11-09,1113.89,1147.7934,-0.7379886168482569,-1,False,57866042645.485115,-0.009294718039480787,0.04123450669310791
341,2023-11-10,1101.68,1145.5638,-0.895644110301943,-1,False,60252120368.25404,0.04123450669310791,-0.003450514323441567
342,2023-11-13,1100.07,1143.0842000000002,-0.8819074647659672,-1,False,60044219563.905655,-0.003450514323441567,-0.04843703464213689
343,2023-11-14,1109.73,1140.5792,-0.6897429144609519,-1,False,57135855620.82868,-0.04843703464213689,-0.0637276357005303
344,2023-11-15,1122.5,1138.1192,-0.44916205945517784,-1,False,53494722628.38641,-0.0637276357005303,-0.02405390161953358
345,2023-11-16,1125.53,1135.767,-0.3641420806099974,-1,False,52207965833.11897,-0.02405390161953358,0.0986117369498869
346,2023-11-17,1101.19,1132.9612,-0.7043072971474478,-1,False,57356284026.54318,0.0986117369498869,-0.020296964083702296
347,2023-11-20,1103.66,1130.5618,-0.6273877688897235,-1,False,56192125589.68181,-0.020296964083702296,-0.04041722544060844
348,2023-11-21,1110.46,1127.8622,-0.47732723768730373,-1,False,53920995781.73666,-0.04041722544060844,-0.025944094763295844
349,2023-11-22,1113.82,1125.3708,-0.3848955361127267,-1,False,52522064357.44401,-0.025944094763295844,0.10298087191163496
350,2023-11-23,1088.49,1122.6644000000001,-0.742269471195375,-1,False,57930832339.5726,0.10298087191163496,-0.040258180602613436
351,2023-11-24,1095.61,1120.0294000000001,-0.588174511209733,-1,False,55598642428.78637,-0.040258180602613436,0.02182270076884607
352,2023-11-27,1088.06,1117.5544,-0.6683418020274793,-1,False,56811954965.66385,0.02182270076884607,-0.040783399472291815
353,2023-11-28,1095.43,1115.233,-0.5152515001100119,-1,False,54494970311.49733,-0.040783399472291815,-0.043152659739684296
354,2023-11-29,1102.8,1112.7668,-0.359873863471288,-1,False,52143367400.121086,-0.043152659739684296,0.02887529492891816
355,2023-11-30,1094.13,1110.3946,-0.45935712733572287,-1,False,53649022512.38652,0.02887529492891816,-0.04388479205993534
356,2023-12-01,1102.16,1108.5768,-0.3037962511751256,-1,False,51294646315.21165,-0.04388479205993534,-0.08848240111785666
357,2023-12-04,1120.49,1107.9226,-0.003912136427873632,1,True,46755972844.7505,-0.08848240111785666,0.020863203408307163
358,2023-12-05,1115.97,1107.4828,-0.06836505859429144,1,False,47731452216.763824,0.020863203408307163,-0.05513865806759233
359,2023-12-06,1126.43,1106.9344,0.10552924765952239,1,False,45099603993.91406,-0.05513865806759233,0.022907003249557967
360,2023-12-07,1121.49,1106.3156,0.037269366461168345,1,False,46132700769.15643,0.022907003249557967,-0.018367327901525843
361,2023-12-08,1124.44,1105.7214000000001,0.09325535899639044,1,False,45285366327.14636,-0.018367327901525843,-0.008737290014676602
362,2023-12-11,1125.5,1105.1264,0.11939858388375452,1,False,44889694948.12521,-0.008737290014676602,-0.010328978552751167
363,2023-12-12,1127.63,1105.317,0.15003433635901742,1,False,44426030251.76649,-0.010328978552751167,0.07071545271967605
364,2023-12-13,1114.2,1105.0276,-0.057541289595605415,1,False,47567637093.55818,0.07071545271967605,0.020077983878507677
365,2023-12-14,1110.13,1104.9524000000001,-0.1206451897648188,1,False,48522699344.261345,0.020077983878507677,0.03599347651496143
366,2023-12-15,1102.3,1104.4276,-0.23604185831296115,-1,True,50269199983.55155,0.03599347651496143,0.045230714501089064
367,2023-12-18,1091.88,1103.518,-0.3862729918288455,-1,False,52542911816.20572,0.045230714501089064,-0.024424114524607576
368,2023-12-19,1096.3,1102.5702,-0.30148048273495487,-1,False,51259597720.550354,-0.024424114524607576,-0.025470274263690418
369,2023-12-20,1100.76,1101.5692,-0.21521573886190118,-1,False,49954001707.961494,-0.025470274263690418,-0.012699944196055135
370,2023-12-21,1102.43,1100.5855999999999,-0.17329811858328306,1,True,49319588673.90074,-0.012699944196055135,-0.008063319892849363
371,2023-12-22,1103.06,1099.5522,-0.14702220300767346,1,False,48921909053.43933,-0.008063319892849363,-0.07367095931755485
372,2023-12-25,1117.66,1099.0770000000002,0.09111335217178114,1,False,45317785081.82629,-0.07367095931755485,-0.02415148010905588
373,2023-12-26,1122.25,1099.0890000000002,0.1634297772680676,1,False,44223293496.83609,-0.02415148010905588,0.0034155856231843362
374,2023-12-27,1121.99,1099.4608,0.1534495419304036,1,False,44374341942.31374,0.0034155856231843362,-0.032964202935874765
375,2023-12-28,1128.93,1100.2824,0.25009891181007293,1,False,42911577129.38142,-0.032964202935874765,-0.0031311110987298774
376,2023-12-29,1129.93,1100.7204000000002,0.2589765507144211,1,False,42777216213.967606,-0.0031311110987298774,-0.005735299870898269
377,2024-01-02,1131.72,1101.4841999999999,0.2751869297956416,1,False,42531876051.33825,-0.005735299870898269,-0.06568042414648967
378,2024-01-03,1144.17,1102.2496,0.45976283645358396,1,False,39738364392.54043,-0.06568042414648967,-0.03350335286211592
379,2024-01-04,1150.72,1103.2308,0.5477304441591766,1,False,38406995948.133804,-0.03350335286211592,-0.012296495305868738
380,2024-01-05,1154.68,1105.2154,0.5789348710126514,1,False,37934724502.745056,-0.012296495305868738,-0.022175305031763126
381,2024-01-08,1160.19,1107.2068000000002,0.6345164728789218,1,False,37093510415.600784,-0.022175305031763126,0.025289809955824527
382,2024-01-09,1158.59,1109.5306,0.5725341249556338,1,False,38031598244.60573,0.025289809955824527,-0.001779010442729101
383,2024-01-10,1161.54,1112.1976,0.5770045374288226,1,False,37963939634.1749,-0.001779010442729101,0.011154059783039516
384,2024-01-11,1162.22,1114.6488,0.549025758020667,1,False,38387391686.454185,0.011154059783039516,0.05670337445053564
385,2024-01-12,1154.7,1116.2334,0.4052048484680978,1,False,40564086331.43058,0.05670337445053564,0.012534920728474397
386,2024-01-15,1154.12,1117.7802000000001,0.3716088299240175,1,False,41072553938.01805,0.012534920728474397,-0.043835507995493406
387,2024-01-16,1163.12,1119.2494,0.4905691912423079,1,False,39272117671.472725,-0.043835507995493406,0.013604763006344278
388,2024-01-17,1162.53,1120.8942000000002,0.4552671495635847,1,False,39806405525.150375,0.013604763006344278,-0.03253678060405696
389,2024-01-18,1169.06,1122.0068,0.5408431655785755,1,False,38511233241.94244,-0.03253678060405696,-0.06883266680489919
390,2024-01-19,1181.5,1123.359,0.7159917147665673,1,False,35860402355.954056,-0.06883266680489919,0.0017573848832916905
391,2024-01-22,1182.86,1124.9826,0.7118277545971926,1,False,35923422884.963165,0.0017573848832916905,0.04597788355055621
392,2024-01-23,1177.5,1126.5312,0.6026959821157184,1,False,37575105839.105385,0.04597788355055621,0.036870147702011025
393,2024-01-24,1172.97,1127.796,0.5111583630357769,1,False,38960505541.3119,0.036870147702011025,0.02182954862035924
394,2024-01-25,1170.37,1128.7534,0.454963856561871,1,False,39810995791.29974,0.02182954862035924,-0.025805909200097177
395,2024-01-26,1175.67,1129.7562,0.5228446215080874,1,False,38783636848.74401,-0.025805909200097177,0.00906161156138352
396,2024-01-29,1175.69,1131.2462,0.4996237510643251,1,False,39135079100.80509,0.00906161156138352,-0.014907192008445036
397,2024-01-30,1179.65,1132.766,0.5381703960009698,1,False,38551684962.383705,-0.014907192008445036,0.10180921113830044
398,2024-01-31,1164.31,1133.8429999999998,0.27883908302461874,1,False,42476601596.45627,0.10180921113830044,-0.042359525771430984
399,2024-02-01,1173.02,1135.027,0.39772362109247444,1,False,40677312896.44837,-0.042359525771430984,0.012643437660893708
400,2024-02-02,1172.55,1136.7082,0.3637421676920521,1,False,41191613966.26728,0.012643437660893708,-0.0679126706087474
