date,vn_retail_buy_vol,vn_retail_buy_value,vn_retail_sell_vol,vn_retail_sell_value,fr_retail_buy_vol,fr_retail_buy_value,fr_retail_sell_vol,fr_retail_sell_value,vn_institute_buy_vol,vn_institute_buy_value,vn_institute_sell_vol,vn_institute_sell_value,fr_institute_buy_vol,fr_institute_buy_value,fr_institute_sell_vol,fr_institute_sell_value
6/06/2025,431331662,10612432840,393090985,8945432312,16894896,451680606.6,11668412,331097095.3,514327432,11812796639,514900294,11220470674,43179037,1161737685,86073336,3541647690
6/05/2025,328138816,7305706019,321836351,7459678712,5744642,207767152.7,19963744,568336757,440703112,10415025179,427726889,9785295151,44916365,1250682800,49975951,1365870531
6/04/2025,456076372,9628535033,444374613,9674355678,17365351,459369813.4,18887540,546758923,499919172,11535462185,526284926,11476194260,71890531,1870955265,55704347,1797013435
6/03/2025,446620970,10097065265,479863443,10177705520,3421601,167458574.6,4651219,205968701.5,579915188,12776334980,603915210,13548952132,127063289,2697254661,68591176,1805487128
6/02/2025,432193463,9111315727,394008106,7892151946,3037748,82962965.75,5479269,147939130.9,444176908,9776301076,494815323,10784270497,84372265,1887857603,69477686,2034075798
05/30/2025,402083455,8978890659,374625041,7997820229,7154252,202325107.4,3605367,98248529.8,504172885,11185795862,497062423,11080920059,72759976,2001788993,110877737,3191811803
05/29/2025,370284868,8301045285,365658813,7829837206,9268072,204302754.4,2564707,102057572.5,452998570,10015182919,472712580,10226368735,95022330,2480304533,86637740,2842571978
05/28/2025,411688014,9027776919,373961501,8405495318,1697800,68338158,2260636,82693600.85,487458899,11317560889,515458957,11739749192,64980017,2037358834,74143636,2223096689
05/27/2025,485601002,10498620864,443163529,9472468878,2130165,112086267.2,14442748,364064838.1,568291114,12333473277,551974492,12234606045,67736330,2159519280,114177842,3032559927
05/26/2025,427023130,9776974999,424864322,9653800917,2302126,108907977.6,3416564,125009425.6,517940384,11183195649,518518576,11271337793,82645870,2147690291,83112048,2166620781
05/23/2025,277767632,6452463192,285011848,6658773241,2234650,76111559,918322,33232739.65,385426760,8612059449,374327565,8271222033,53984306,1793540102,59155613,1970946288
05/22/2025,449614226,10273307202,467901235,10301842698,8994053,335199081,4950921,191425067.4,613752646,13421501924,602822017,13505802076,86755498,2421747552,83442250,2452685918
05/21/2025,429066664,9759067748,432294115,9746615944,6116106,210754355,6177637,229544243,548966395,12580515842,562172017,13070649398,92320055,3034317940,75825451,2537846300
05/20/2025,391407431,8962091932,387228431,8772813433,5518648,206746762.6,3229641,110206724.5,482031345,11531711557,479810791,11200433505,80782518,2448069738,89471079,3065166328
05/19/2025,353102861,8288931680,360874390,8355980094,8357563,241367658.1,1850723,98050937.5,479076406,11622258164,466847199,11058622715,71440380,2337949848,82404898,2977853604
05/16/2025,382272155,8699798804,355084927,7933552274,8112957,198469111.3,11442920,583597489.8,450459214,9949923362,457692746,9762001986,66730473,1954977109,83354206,2524016636
05/15/2025,421184990,9648260243,444661133,9590141764,11001547,277078190,1147406,36340425.95,555439009,12038096121,582413870,13013835759,130588804,3961946269,89991941,3285062875
05/14/2025,397739460,8907803410,440741724,10184751597,18144063,558812992.4,3370981,116786358.9,520902884,12923600140,554015346,13919952170,137923034,4974872074,76581390,3143598490
05/13/2025,370704343,8525937738,390709587,9281600551,11574459,374512289,2313148,118435947.2,460335193,11232303121,472408724,11454069428,111042864,3787759058,88225400,3066406280
5/12/2025,368689543,8607907165,365655124,8583895458,3128981,169202280,1804254,66964242.65,493366466,11361006696,484738693,11091505663,39144752,1536729923,52131671,1932480700
5/09/2025,284228224,6177381989,288618517,6294702804,4310370,144884441,2361928,100426334.7,394031891,8708128606,387847640,8501301027,76617124,2329507056,80359524,2463471926
5/08/2025,299076293,6993095573,302316851,6851266346,9179218,242580782.9,4023300,88907117,412652553,9211344015,420218281,9601939519,87416442,2721625090,81766074,2626532479
5/07/2025,284778621,6105944832,291332171,6533078863,12181538,263449798.4,989922,45786360.65,383648230,8576925930,422505450,9049345320,82135533,2273351882,47916379,1591461898
5/06/2025,313815374,7237614602,317109828,7252284396,12666668,302277232.3,2072652,63872577.91,391220375,8536720571,397237358,8594020008,64161196,1809294353,65443775,1975729775
5/05/2025,240047176,5554206270,223214167,4947841273,5899202,174033633.5,9485947,345067965.4,300359274,6759306828,332478255,7495629973,60390064,1881215354,41517347,1580222874
04/29/2025,512349451,11232742132,511521395,11237961249,1437534,40561756.73,504665,13516736.05,65855114,2496249251,57084187,2237514501,57879805,1735340557,68411657,2015901211
