symbol,so_cp_luu_hanh,close
GLW,18000000.0,13.7
NCS,17948210.0,40.7
AVG,17679982.0,15.1
NSC,17574516.0,80.0
ICG,17572000.0,15.0
CCI,17541105.0,26.3
PBT,17522284.0,30.3
PIV,17324942.0,2.5
SVT,17310978.0,11.2
X20,17250000.0,12.6
MPT,17107164.0,0.6
VTQ,17081791.0,11.0
PSW,17000000.0,8.6
TFC,16829994.0,63.9
CSI,16800000.0,29.0
VC9,16695200.0,3.9
VNT,16644097.0,35.4
UDJ,16500000.0,7.2
GMH,16500000.0,8.7
HTC,16499993.0,24.8
PTT,16493172.0,11.2
HHC,16425000.0,129.8
VNY,16249956.0,6.5
DDN,16116383.0,6.4
PNP,16100000.0,21.9
SDD,16007334.0,1.2
CMI,16000000.0,0.6
VET,16000000.0,16.5
TNW,16000000.0,11.2
HBH,16000000.0,5.4
SD3,15999356.0,7.1
BIG,15989530.0,5.0
STW,15863133.0,35.8
BMF,15848063.0,8.4
HSV,15749994.0,4.6
NFC,15731260.0,57.6
NDT,15639976.0,5.0
DID,15622552.0,4.3
VTE,15600000.0,6.5
TTD,15552000.0,78.1
CMW,15534900.0,14.0
VMD,15440268.0,16.35
DM7,15411100.0,24.0
TL4,15333338.0,10.8
CAP,15269965.0,42.0
LAF,15228019.0,20.3
ATG,15220000.0,8.7
VCA,15187322.0,9.3
HD6,15120000.0,13.1
VPA,15076177.0,2.8
JOS,15043161.0,0.9
C32,15029145.0,20.35
IST,15008492.0,38.0
MTS,15000000.0,9.4
XMP,15000000.0,15.5
EID,15000000.0,26.1
PXA,15000000.0,0.8
VFR,15000000.0,11.4
PDC,15000000.0,6.1
MEL,15000000.0,6.0
TMB,15000000.0,61.0
HU4,15000000.0,15.1
PPS,15000000.0,10.7
PXM,15000000.0,0.6
SC5,14983499.0,16.25
LUT,14960000.0,0.6
SHE,14953156.0,7.3
DHA,14721073.0,48.85
FGL,14676300.0,10.1
VDL,14657150.0,9.0
HAF,14500000.0,23.0
WSB,14500000.0,69.7
SD2,14423536.0,3.8
SGS,14420000.0,19.0
G20,14400000.0,0.7
LHC,14400000.0,96.5
DKG,14375000.0,9.7
YBM,14299880.0,14.0
PIT,14210225.0,6.3
VLG,14162130.0,9.2
VNL,14140487.0,22.65
RCL,14135751.0,13.0
COM,14120628.0,33.0
VSA,14096486.0,20.6
SBD,13916480.0,7.9
KHS,13904571.0,22.8
CAG,13800000.0,7.4
SPM,13770000.0,10.95
CTB,13680000.0,26.6
HVA,13650000.0,24.8
TH1,13539226.0,3.0
BTT,13500000.0,37.95
DTI,13488800.0,2.5
LDP,13338135.0,11.9
SPB,13300087.0,15.0
UPH,13294641.0,9.5
SSC,13271785.0,33.4
VSI,13199997.0,21.0
HMH,13199847.0,17.9
HTV,13104000.0,12.1
AMP,13000000.0,13.3
CLW,13000000.0,49.0
XPH,12972475.0,14.3
NBP,12865500.0,8.1
HJC,12853052.0,7.4
DND,12834000.0,9.2
SVI,12832437.0,47.95
ICF,12807000.0,3.2
TCT,12788000.0,21.6
FHS,12751462.0,36.0
CFV,12650000.0,24.3
HGM,12600000.0,304.9
TED,12500000.0,46.5
BSP,12500000.0,9.8
PSE,12500000.0,11.0
DMN,12500000.0,8.8
NSL,12499731.0,18.0
POV,12499612.0,7.9
TA9,12419787.0,12.4
BDW,12410800.0,25.4
MED,12410000.0,22.6
TMC,12400000.0,7.7
BMC,12392630.0,17.3
BRC,12374997.0,12.7
SGH,12364100.0,30.0
DDM,12244492.0,2.2
TDS,12225393.0,8.5
LAW,12200000.0,34.0
THM,12152800.0,8.7
PTE,12130776.0,4.2
GIC,12120000.0,15.6
CTP,12099992.0,8.9
DSN,12083009.0,44.8
SAF,12046590.0,54.5
HSP,12027086.0,14.7
VE9,12023613.0,4.5
SBL,12012000.0,5.4
HTL,12000000.0,27.5
LPT,12000000.0,6.2
VCM,12000000.0,9.4
PMB,12000000.0,10.7
CLH,12000000.0,22.7
DDB,12000000.0,9.8
VC1,12000000.0,14.4
